"Image","Species"
"abfil_u0.jpg","Abalistes filamentosus"
"abfil_u1.jpg","Abalistes filamentosus"
"abste_u0.jpg","Abalistes stellaris"
"abste_u1.jpg","Abalistes stellaris"
"abste_u2.jpg","Abalistes stellaris"
"abste_u3.jpg","Abalistes stellaris"
"abste_u4.jpg","Abalistes stellaris"
"abste_u5.jpg","Abalistes stellaris"
"abste_u7.jpg","Abalistes stellaris"
"abste_u8.jpg","Abalistes stellatus"
"abste_u9.jpg","Abalistes stellatus"
"abste_ua.jpg","Abalistes stellatus"
"abste_ub.jpg","Abalistes stellatus"
"bacap_j0.jpg","Balistes capriscus"
"bacar_u0.jpg","Balistes capriscus"
"bacar_u1.jpg","Balistes capriscus"
"bacar_u2.jpg","Balistes capriscus"
"bacar_u3.jpg","Balistes capriscus"
"bacar_u4.jpg","Balistes capriscus"
"bacar_u6.jpg","Balistes capriscus"
"bacar_u7.jpg","Balistes capriscus"
"bacon_u0.jpg","Balistoides conspicillum"
"bacon_u6.jpg","Balistoides conspicillum"
"bacon_u7.jpg","Balistoides conspicillum"
"bacon_u8.jpg","Balistoides conspicillum"
"bacon_ud.jpg","Balistoides conspicillum"
"bapol_u0.jpg","Balistes polylepis"
"bapol_u1.jpg","Balistes polylepis"
"bapun_u0.jpg","Balistes punctatus"
"bapun_u1.jpg","Balistes punctatus"
"bapun_u2.jpg","Balistes punctatus"
"baund_u1.jpg","Balistapus undulatus"
"baund_u2.jpg","Balistapus undulatus"
"baund_u3.jpg","Balistapus undulatus"
"baund_u4.jpg","Balistapus undulatus"
"baund_u5.jpg","Balistapus undulatus"
"baund_u6.jpg","Balistapus undulatus"
"baund_ua.jpg","Balistapus undulatus"
"baund_ue.jpg","Balistapus undulatus"
"bavet_u0.jpg","Balistes vetula"
"bavet_u3.jpg","Balistes vetula"
"bavet_u6.jpg","Balistes vetula"
"bavet_u7.jpg","Balistes vetula"
"bavet_ua.jpg","Balistes vetula"
"bavet_ub.jpg","Balistes vetula"
"bavir_u0.jpg","Balistoides viridescens"
"bavir_u1.jpg","Balistoides viridescens"
"bavir_u2.jpg","Balistoides viridescens"
"bavir_u4.jpg","Balistoides viridescens"
