"Image","Species"
"amhow_u0.jpg","Amphichaetodon howensis"
"amhow_u1.jpg","Amphichaetodon howensis"
"amhow_u2.jpg","Amphichaetodon howensis"
"amhow_u3.jpg","Amphichaetodon howensis"
"ammel_u0.jpg","Amphichaetodon melbae"
"chacu_u1.jpg","Prognathodes aculeatus"
"chadi_u0.jpg","Chaetodon adiergastos"
"chadi_u1.jpg","Chaetodon adiergastos"
"chadi_u2.jpg","Chaetodon adiergastos"
"chadi_u3.jpg","Chaetodon adiergastos"
"chand_j0.jpg","Chaetodon andamanensis"
"chand_u0.jpg","Chaetodon andamanensis"
"charg_u0.jpg","Chaetodon argentatus"
"charg_u1.jpg","Chaetodon argentatus"
"charg_u2.jpg","Chaetodon argentatus"
"charg_u3.jpg","Chaetodon argentatus"
"chass_u0.jpg","Chaetodon assarius"
"chaur_u0.jpg","Chaetodon auriga"
"chaur_u1.jpg","Chaetodon aureofasciatus"
"chaur_u2.jpg","Chaetodon auripes"
"chaur_u3.jpg","Chaetodon auriga"
"chaur_u4.jpg","Chaetodon auriga"
"chaur_u5.jpg","Chaetodon auriga"
"chaur_u6.jpg","Chaetodon auriga"
"chaur_u7.jpg","Chaetodon auriga"
"chaur_u8.jpg","Chaetodon auriga"
"chaur_u9.jpg","Chaetodon auriga"
"chaur_ua.jpg","Chaetodon auriga"
"chaur_ub.jpg","Chaetodon auripes"
"chaur_uc.jpg","Chaetodon auripes"
"chaur_ud.jpg","Chaetodon auriga"
"chaur_ue.jpg","Chaetodon auriga"
"chaur_ui.jpg","Chaetodon aureofasciatus"
"chaur_ul.jpg","Chaetodon auriga"
"chaur_un.jpg","Chaetodon auriga"
"chaur_uo.jpg","Chaetodon auripes"
"chaur_uv.jpg","Chaetodon auriga"
"chaus_u0.jpg","Chaetodon austriacus"
"chaus_u1.jpg","Chaetodon austriacus"
"chaus_u2.jpg","Chaetodon austriacus"
"chaus_u3.jpg","Chaetodon austriacus"
"chaya_u0.jpg","Prognathodes aya"
"chbar_j0.jpg","Chaetodon baronessa"
"chbar_u0.jpg","Chaetodon baronessa"
"chbar_u1.jpg","Chaetodon baronessa"
"chbar_u2.jpg","Chaetodon baronessa"
"chbar_u3.jpg","Chaetodon baronessa"
"chbar_u4.jpg","Chaetodon baronessa"
"chbar_u5.jpg","Chaetodon baronessa"
"chbar_u7.jpg","Chaetodon baronessa"
"chben_u1.jpg","Chaetodon bennetti"
"chben_u2.jpg","Chaetodon bennetti"
"chben_u3.jpg","Chaetodon bennetti"
"chben_u4.jpg","Chaetodon bennetti"
"chben_u6.jpg","Chaetodon bennetti"
"chbla_f0.jpg","Chaetodon blackburnii"
"chbla_j0.jpg","Chaetodon blackburnii"
"chbla_j1.jpg","Chaetodon blackburnii"
"chbla_u0.jpg","Chaetodon blackburnii"
"chbla_u1.jpg","Chaetodon blackburnii"
"chbur_u0.jpg","Chaetodon burgessi"
"chbur_u1.jpg","Chaetodon burgessi"
"chbur_u3.jpg","Chaetodon burgessi"
"chbur_u4.jpg","Chaetodon burgessi"
"chcap_u0.jpg","Chaetodon capistratus"
"chcap_u9.jpg","Chaetodon capistratus"
"chcap_ub.jpg","Chaetodon capistratus"
"chcap_uh.jpg","Chaetodon capistratus"
"chcit_u0.jpg","Chaetodon citrinellus"
