"Species"
"Acantholabrus palloni"
"Anchichoerops natalensis"
"Centrolabrus trutta"
"Choerodon rubescens"
"Coris atlantica"
"Halichoeres kallochroma"
"Halichoeres maculipinna"
"Halichoeres pictus"
"Halichoeres rubrovirens"
"Halichoeres socialis"
"Lappanella fasciata"
"Leptojulis lambdastigma"
"Paracheilinus hemitaeniatus"
"Paracheilinus togeanensis"
"Pseudocoris petila"
"Stethojulis notialis"
"Suezichthys aylingi"
"Suezichthys devisi"
"Symphodus doderleini"
"Symphodus ocellatus"
"Symphodus roissali"
"Symphodus rostratus"
"Thalassoma newtoni"
"Thalassoma noronhanum"
"Wetmorella tanakai"
"Xyrichtys martinicensis"
