"Image","Species"
"acgou_u0.jpg","Achoerodus gouldii"
"acpal_u0.jpg","Acantholabrus palloni"
"acpal_u1.jpg","Acantholabrus palloni"
"acpal_u2.jpg","Acantholabrus palloni"
"acpal_u3.jpg","Acantholabrus palloni"
"acvir_f0.jpg","Achoerodus viridis"
"amdic_u0.jpg","Ammolabrus dicrus"
"amdic_u1.jpg","Ammolabrus dicrus"
"amdic_u2.jpg","Ammolabrus dicrus"
"amdic_u3.jpg","Ammolabrus dicrus"
"ancae_f0.jpg","Anampses caeruleopunctatus"
"ancae_j0.jpg","Anampses caeruleopunctatus"
"ancae_j1.jpg","Anampses caeruleopunctatus"
"ancae_m0.jpg","Anampses caeruleopunctatus"
"ancae_m1.jpg","Anampses caeruleopunctatus"
"ancae_m2.jpg","Anampses caeruleopunctatus"
"ancae_m3.jpg","Anampses caeruleopunctatus"
"ancae_u1.jpg","Anampses caeruleopunctatus"
"ancae_u2.jpg","Anampses caeruleopunctatus"
"anchr_f0.jpg","Anampses chrysocephalus"
"anchr_f1.jpg","Anampses chrysocephalus"
"anchr_m0.jpg","Anampses chrysocephalus"
"anchr_m1.jpg","Anampses chrysocephalus"
"ancuv_f0.jpg","Anampses cuvier"
"ancuv_f1.jpg","Anampses cuvier"
"ancuv_m0.jpg","Anampses cuvier"
"ancuv_m1.jpg","Anampses cuvier"
"ancuv_m2.jpg","Anampses cuvier"
"ancuv_u0.jpg","Anampses cuvier"
"anele_f0.jpg","Anampses elegans"
"anele_f1.jpg","Anampses elegans"
"anele_m0.jpg","Anampses elegans"
"anele_m1.jpg","Anampses elegans"
"anele_u0.jpg","Anampses elegans"
"anfem_f0.jpg","Anampses femininus"
"anfem_m0.jpg","Anampses femininus"
"anfem_u0.jpg","Anampses femininus"
"anfem_u1.jpg","Anampses femininus"
"angeo_f0.jpg","Anampses geographicus"
"angeo_m0.jpg","Anampses geographicus"
"angeo_m1.jpg","Anampses geographicus"
"angeo_m2.jpg","Anampses geographicus"
"angeo_m3.jpg","Anampses geographicus"
"angeo_u0.jpg","Anampses geographicus"
"angeo_u1.jpg","Anampses geographicus"
"angeo_u2.jpg","Anampses geographicus"
"angeo_u3.jpg","Anampses geographicus"
"anlen_f0.jpg","Anampses lennardi"
"anlen_m0.jpg","Anampses lennardi"
"anlin_f0.jpg","Anampses lineatus"
"anlin_j0.jpg","Anampses lineatus"
"anlin_m0.jpg","Anampses lineatus"
"anlin_u0.jpg","Anampses lineatus"
"anlin_u1.jpg","Anampses lineatus"
"anmel_f0.jpg","Anampses melanurus"
"anmel_f1.jpg","Anampses melanurus"
"anmel_f2.jpg","Anampses meleagrides"
"anmel_m0.jpg","Anampses melanurus"
"anmel_m1.jpg","Anampses meleagrides"
"anmel_u0.jpg","Anampses melanurus"
"anmel_u1.jpg","Anampses melanurus"
"annat_u0.jpg","Anchichoerops natalensis"
"anneo_m0.jpg","Anampses neoguinaicus"
"anneo_m1.jpg","Anampses neoguinaicus"
"anneo_u0.jpg","Anampses neoguinaicus"
"antwi_f0.jpg","Anampses twistii"
"antwi_u0.jpg","Anampses twistii"
"antwi_u1.jpg","Anampses twistii"
"antwi_u2.jpg","Anampses twistii"
"antwi_u3.jpg","Anampses twistii"
"aumac_m0.jpg","Austrolabrus maculatus"
"boant_j0.jpg","Bodianus anthioides"
"boant_j1.jpg","Bodianus anthioides"
"boant_u0.jpg","Bodianus anthioides"
"boant_u1.jpg","Bodianus anthioides"
"boant_u2.jpg","Bodianus anthioides"
"boant_u6.jpg","Bodianus anthioides"
"boant_u7.jpg","Bodianus anthioides"
"boaxi_j1.jpg","Bodianus axillaris"
"boaxi_m0.jpg","Bodianus axillaris"
"boaxi_u0.jpg","Bodianus axillaris"
"boaxi_u1.jpg","Bodianus axillaris"
"boaxi_u2.jpg","Bodianus axillaris"
"boaxi_u3.jpg","Bodianus axillaris"
"boaxi_u5.jpg","Bodianus axillaris"
"boaxi_u6.jpg","Bodianus axillaris"
"bobil_f0.jpg","Bodianus bilunulatus"
"bobil_f1.jpg","Bodianus bilunulatus"
"bobil_f2.jpg","Bodianus bilunulatus"
"bobil_j0.jpg","Bodianus albotaeniatus"
"bobil_j1.jpg","Bodianus albotaeniatus"
"bobil_m0.jpg","Bodianus albotaeniatus"
"bobil_u0.jpg","Bodianus albotaeniatus"
"bobil_u1.jpg","Bodianus bilunulatus"
"bobil_u2.jpg","Bodianus albotaeniatus"
"bobil_u3.jpg","Bodianus albotaeniatus"
"bobil_u4.jpg","Bodianus bilunulatus"
