"Species"
"Bellator farrago"
"Bovitrigla acanthomoplate"
"Lepidotrigla alcocki"
"Lepidotrigla argyrosoma"
"Lepidotrigla bentuviai"
"Lepidotrigla brachyoptera"
"Lepidotrigla calodactyla"
"Lepidotrigla deasoni"
"Lepidotrigla eydouxii"
"Lepidotrigla hime"
"Lepidotrigla jimjoebob"
"Lepidotrigla kanagashira"
"Lepidotrigla larsoni"
"Lepidotrigla lepidojugulata"
"Lepidotrigla longimana"
"Lepidotrigla macrobrachia"
"Lepidotrigla marisinensis"
"Lepidotrigla musorstom"
"Lepidotrigla nana"
"Lepidotrigla oglina"
"Lepidotrigla pectoralis"
"Lepidotrigla robinsi"
"Lepidotrigla russelli"
"Lepidotrigla sayademalha"
"Lepidotrigla sereti"
"Lepidotrigla spinosa"
"Lepidotrigla umbrosa"
"Lepidotrigla vaubani"
"Lepidotrigla venusta"
"Prionotus martis"
"Prionotus murielae"
"Pterygotrigla amaokai"
"Pterygotrigla andertoni"
"Pterygotrigla cajorarori"
"Pterygotrigla draiggoch"
"Pterygotrigla elicryste"
"Pterygotrigla gomoni"
"Pterygotrigla guezei"
"Pterygotrigla hafizi"
"Pterygotrigla hoplites"
"Pterygotrigla jacad"
"Pterygotrigla macrolepidota"
"Pterygotrigla macrorhynchus"
"Pterygotrigla megalops"
"Pterygotrigla multipunctata"
"Pterygotrigla pauli"
"Pterygotrigla robertsi"
"Pterygotrigla saumarez"
"Pterygotrigla soela"
"Pterygotrigla tagala"
"Pterygotrigla urashimai"
