"Image","Species"
"ascuc_u0.jpg","Trigloporus lastoviza"
"bebra_u3.jpg","Bellator brachychir"
"beegr_u0.jpg","Bellator egretta"
"begym_u1.jpg","Bellator gymnostethus"
"belox_u0.jpg","Bellator loxias"
"belox_u1.jpg","Bellator loxias"
"bemil_u0.jpg","Bellator militaris"
"berib_u0.jpg","Bellator ribeiroi"
"bexen_j0.jpg","Bellator xenisma"
"bexen_u0.jpg","Bellator xenisma"
"bexen_u1.jpg","Bellator xenisma"
"bexen_u2.jpg","Bellator xenisma"
"chcap_uc.jpg","Chelidonichthys capensis"
"chcap_ud.jpg","Chelidonichthys capensis"
"chcap_ue.jpg","Chelidonichthys capensis"
"chcap_uf.jpg","Chelidonichthys capensis"
"chcap_ug.jpg","Chelidonichthys capensis"
"chcuc_u2.jpg","Chelidonichthys cuculus"
"chcuc_u3.jpg","Chelidonichthys cuculus"
"chgur_u0.jpg","Eutrigla gurnardus"
"chgur_u1.jpg","Eutrigla gurnardus"
"chgur_u2.jpg","Eutrigla gurnardus"
"chgur_u3.jpg","Eutrigla gurnardus"
"chgur_u4.jpg","Eutrigla gurnardus"
"chgur_u5.jpg","Eutrigla gurnardus"
"chgur_u6.jpg","Eutrigla gurnardus"
"chgur_u7.jpg","Eutrigla gurnardus"
"chisc_u0.jpg","Chelidonichthys ischyrus"
"chkum_u0.jpg","Chelidonichthys kumu"
"chkum_u1.jpg","Chelidonichthys kumu"
"chkum_u2.jpg","Chelidonichthys kumu"
"chlas_u0.jpg","Trigloporus lastoviza"
"chlas_u1.jpg","Trigloporus lastoviza"
"chlas_u2.jpg","Trigloporus lastoviza"
"chlas_u3.jpg","Trigloporus lastoviza"
"chlas_u5.jpg","Trigloporus lastoviza"
"chluc_u2.jpg","Chelidonichthys lucerna"
"chluc_u3.jpg","Chelidonichthys lucerna"
"chluc_u4.jpg","Chelidonichthys cuculus"
"chluc_u5.jpg","Chelidonichthys lucerna"
"chluc_u8.jpg","Chelidonichthys lucerna"
"chobs_u0.jpg","Chelidonichthys obscurus"
"chobs_u1.jpg","Chelidonichthys obscurus"
"chque_u0.jpg","Chelidonichthys queketti"
"chque_u1.jpg","Chelidonichthys queketti"
"chque_u2.jpg","Chelidonichthys queketti"
"chspi_u4.jpg","Chelidonichthys spinosus"
"leaby_u1.jpg","Lepidotrigla abyssalis"
"leaby_u2.jpg","Lepidotrigla abyssalis"
"leala_u1.jpg","Lepidotrigla alata"
"learg_u0.jpg","Lepidotrigla argus"
"lebis_u0.jpg","Lepidotrigla bispinosa"
"lecav_u0.jpg","Lepidotrigla cavillone"
"lecav_u1.jpg","Lepidotrigla cavillone"
"ledie_u0.jpg","Lepidotrigla dieuzeidei"
"lefau_u0.jpg","Lepidotrigla faurei"
"legra_u0.jpg","Lepidotrigla grandis"
"legue_u0.jpg","Lepidotrigla guentheri"
"lejap_u0.jpg","Lepidotrigla japonica"
"lejap_u3.jpg","Lepidotrigla japonica"
"lejap_u4.jpg","Lepidotrigla japonica"
"lekis_u1.jpg","Lepidotrigla kishinouyi"
"lelon_u7.jpg","Lepidotrigla longipinnis"
"lemic_uc.jpg","Lepidotrigla microptera"
"leoma_u0.jpg","Lepidotrigla omanensis"
"leoma_u1.jpg","Lepidotrigla omanensis"
"leoma_u2.jpg","Lepidotrigla omanensis"
"leple_u0.jpg","Lepidotrigla pleuracanthica"
"lepun_u0.jpg","Lepidotrigla punctipectoralis"
"lespi_u0.jpg","Lepidotrigla spiloptera"
"lespi_u1.jpg","Lepidotrigla spiloptera"
"prala_u0.jpg","Prionotus alatus"
"pralb_u0.jpg","Prionotus albirostris"
"pralb_u1.jpg","Prionotus albirostris"
"prbea_u0.jpg","Prionotus beanii"
"prbir_u0.jpg","Prionotus birostratus"
"prbir_u1.jpg","Prionotus birostratus"
"prbir_u2.jpg","Prionotus birostratus"
"prcar_u0.jpg","Prionotus carolinus"
"prcar_u1.jpg","Prionotus carolinus"
"prcar_u3.jpg","Prionotus carolinus"
"prevo_u0.jpg","Prionotus evolans"
"prhor_j0.jpg","Prionotus horrens"
"prhor_u0.jpg","Prionotus horrens"
"prhor_u1.jpg","Prionotus horrens"
"prlon_u0.jpg","Prionotus longispinosus"
"prlon_u1.jpg","Prionotus longispinosus"
"prnud_u0.jpg","Prionotus nudigula"
"proph_u0.jpg","Prionotus ophryas"
"proph_u1.jpg","Prionotus ophryas"
"prpar_u1.jpg","Prionotus paralatus"
"prpun_u2.jpg","Prionotus punctatus"
"prpun_u3.jpg","Prionotus punctatus"
"prpun_u4.jpg","Prionotus punctatus"
"prros_u0.jpg","Prionotus roseus"
"prros_u1.jpg","Prionotus roseus"
"prrub_u0.jpg","Prionotus rubio"
"prrub_u1.jpg","Prionotus rubio"
"prrub_u2.jpg","Prionotus rubio"
"prrus_b0.jpg","Prionotus ruscarius"
"prrus_b1.jpg","Prionotus ruscarius"
"prrus_u0.jpg","Prionotus ruscarius"
"prrus_u1.jpg","Prionotus ruscarius"
"prrus_u2.jpg","Prionotus ruscarius"
"prrus_u3.jpg","Prionotus ruscarius"
"prsci_u0.jpg","Prionotus scitulus"
"prsci_u1.jpg","Prionotus rubio"
"prsci_u2.jpg","Prionotus scitulus"
"prsci_u3.jpg","Prionotus scitulus"
"prsci_u4.jpg","Prionotus scitulus"
"prste_j0.jpg","Prionotus stephanophrys"
"prste_j1.jpg","Prionotus stephanophrys"
"prste_u0.jpg","Prionotus stearnsi"
"prste_u1.jpg","Prionotus stearnsi"
"prste_u2.jpg","Prionotus stephanophrys"
"prste_u3.jpg","Prionotus stephanophrys"
"prste_u4.jpg","Prionotus stearnsi"
"prtea_j0.jpg","Prionotus teaguei"
"prtea_u0.jpg","Prionotus teaguei"
"prtri_j0.jpg","Prionotus tribulus"
"prtri_j1.jpg","Prionotus tribulus"
"prtri_u1.jpg","Prionotus tribulus"
"ptara_u3.jpg","Pterygotrigla arabica"
"pthem_u0.jpg","Pterygotrigla hemisticta"
"pthem_u1.jpg","Pterygotrigla hemisticta"
"pthem_u2.jpg","Pterygotrigla hemisticta"
"ptlep_u0.jpg","Pterygotrigla leptacanthus"
"ptmul_u0.jpg","Pterygotrigla multiocellata"
"ptpic_u0.jpg","Pterygotrigla picta"
"ptpic_u1.jpg","Pterygotrigla picta"
"ptpol_u0.jpg","Pterygotrigla polyommata"
"ptryu_u0.jpg","Pterygotrigla ryukyuensis"
"ptspi_u0.jpg","Pterygotrigla spirai"
"trlyr_u0.jpg","Trigla lyra"
"trlyr_u1.jpg","Trigla lyra"
